排名	书名	作者	题材	知名度	文笔剧情	入选理由	文件路径
17	完美世界	辰东	东方玄幻	9	8	遮天姊妹篇，热血与宏大	玄幻奇幻/东方玄幻/完美世界.epub
18	连城诀	金庸	经典武侠	9	9	人性至暗的短篇杰作	武侠仙侠/古典仙侠/连城诀.mobi
19	魔道祖师	墨香铜臭	古风/耽美	10	9	现象级IP，动画剧集爆款	女频言情/古典奇幻/魔道祖师-墨香铜臭.epub
20	雪山飞狐	金庸	经典武侠	9	9	多视角叙事，结构精巧	武侠仙侠/古典仙侠/雪山飞狐.mobi
21	长相思	桐华	古言/奇幻	9	9	桐华神话言情代表，剧改热播	青春校园/长相思.mobi
22	圣墟	辰东	东方玄幻	9	8	辰东新神话体系，人气极高	Z未分类/玄幻/东方玄幻/《圣墟》作者：辰东【公众号：密知圈】.txt
23	斗破苍穹	天蚕土豆	异世玄幻	10	7	国民级爽文，IP影响力巨大	玄幻奇幻/异世大陆/斗破苍穹（精制精排）.epub
24	佛本是道	梦入神机	洪荒仙侠	9	8	“洪荒流”开山之作	玄幻奇幻/东方玄幻/佛本是道.epub
25	龙族	江南	青春奇幻	10	9	现象级青春奇幻，销量与人气顶级	玄幻奇幻/东方玄幻/龙族全套 共七册（龙族Ⅰ-龙族Ⅳ 龙族前传）.epub
26	无限恐怖	zhttty	无限流	9	8	“无限流”开山鼻祖	起点精选/起点爆款小说/0018018.无限恐怖.txt
27	我欲封天	耳根	仙侠	9	8	耳根代表作，节奏文笔俱佳	武侠仙侠/古典仙侠/我欲封天-耳根.epub
28	惊悚乐园	三天两觉	游戏/悬疑	9	9	口碑神作，脑洞与文笔皆强	玄幻奇幻/东方玄幻/惊悚乐园（知秋版精排）V1.1.epub
29	飞狐外传	金庸	经典武侠	8	9	胡斐传奇，侠气凛然	武侠仙侠/古典仙侠/飞狐外传.mobi
30	书剑恩仇录	金庸	经典武侠	8	8	金庸处女作，群像可观	武侠仙侠/古典仙侠/书剑恩仇录.mobi
31	碧血剑	金庸	经典武侠	8	8	明末背景，袁承志传	武侠仙侠/古典仙侠/碧血剑.mobi
32	侠客行	金庸	经典武侠	8	9	身份与赤子之心的寓言	武侠仙侠/古典仙侠/侠客行.mobi
33	紫川	老猪	奇幻史诗	9	9	奇幻长篇神作，群像与热血口碑爆棚	起点精选/起点爆款小说/060.紫川.txt
34	斗罗大陆	唐家三少	异世玄幻	10	7	国民级IP，动漫改编影响力巨大	起点精选/起点爆款小说/0009009.斗罗大陆【公众号：密知圈】.txt
35	盘龙	我吃西红柿	西方玄幻	9	8	“土豆流”里程碑，西幻升级流范式	起点精选/起点爆款小说/0001001.盘龙.txt
36	恶魔法则	跳舞	西方奇幻	9	8	跳舞代表作，权谋与成长	起点精选/起点爆款小说/0011011.恶魔法则.txt
37	三生三世十里桃花	唐七	古风仙恋	9	8	仙恋现象级，影视爆款	青春校园/旷世绮丽凡仙恋：三生三世 十里桃花.mobi
38	回到明朝当王爷	月关	历史穿越	9	8	月关成名作，明穿标杆	起点精选/起点爆款小说/0013013.回到明朝当王爷.txt
39	阳神	梦入神机	仙侠	9	8	武道通神，气势磅礴	起点精选/起点爆款小说/0017017.阳神.txt
40	牧神记	宅猪	东方玄幻	9	8	宅猪代表作，热血与温情，口碑高	玄幻奇幻/东方玄幻/牧神记.epub
41	香蜜沉沉烬如霜	电线	古风仙恋	9	8	仙恋人气作，影视爆款	青春校园/香蜜沉沉烬如霜.mobi
42	匆匆那年	九夜茴	青春	9	8	青春文学现象级，影视改编	青春校园/匆匆那年.mobi
43	何以笙箫默	顾漫	都市言情	9	8	顾漫经典，剧改国民度高	青春校园/何以笙箫默.mobi
44	你好，旧时光	八月长安	青春校园	8	9	“振华三部曲”，口碑极佳	青春校园/你好，旧时光.mobi
45	宰执天下	cuslaa	历史	8	9	北宋官场考据神作，硬核权谋	Z未分类/历史/宋朝历史/《宰执天下》作者：cuslaa.txt
46	有匪	priest	武侠言情	9	8	priest名作，剧改《有翡》	女频言情/穿越架空/有匪-priest.epub
47	元尊	天蚕土豆	东方玄幻	8	7	天蚕土豆人气作，连载现象级	Z未分类/玄幻/东方玄幻/《元尊》作者：天蚕土豆.txt
48	星辰变	我吃西红柿	仙侠	8	7	西红柿早期名作，仙侠升级流	起点精选/起点爆款小说/0003003.星辰变.txt
49	将血	河边草	历史军事	8	9	铁血西军史诗，硬派历史经典	Z未分类/历史/架空历史/《将血》作者：河边草.txt
50	枭臣	更俗	历史架空	8	9	权谋深沉，历史流硬核佳作	Z未分类/历史/架空历史/《枭臣》作者：更俗.txt
51	西决	笛安	青春文学	8	9	笛安“龙城三部曲”，文学性强	青春校园/西决.mobi
52	万族之劫	老鹰吃小鸡	东方玄幻	8	7	近年人气爆款，脑洞设定新	Z未分类/都市/都市异能/《万族之劫》作者：老鹰吃小鸡【公众号：密知圈】.txt
53	佣兵天下	说不得大师	奇幻	8	7	早期奇幻经典，恢弘架构	起点精选/起点爆款小说/0004004.佣兵天下.txt
54	一世之尊	爱潜水的乌贼	东方玄幻	8	8	乌贼成名作，东方仙侠脑洞	Z未分类/玄幻/东方玄幻/《一世之尊》作者：爱潜水的乌贼【公众号：密知圈】.txt
55	匹夫的逆袭	骁骑校	都市	8	8	骁骑校硬派都市，人物鲜活	现代都市/都市生活/匹夫的逆袭-骁骑校.epub
56	材料帝国	齐橙	工业/重生	8	8	工业种田标杆，专业扎实	现代都市/都市重生/材料帝国-齐橙.epub
57	唐骑	阿菩	历史架空	8	8	五代乱世史诗，格局宏大	Z未分类/历史/架空历史/《唐骑》作者：阿菩.txt
58	边戎	阿菩	历史	8	8	宋末抗金史诗，硬核厚重	Z未分类/历史/宋朝历史/《边戎》作者：阿菩.txt
59	盛唐日月	酒徒	历史	8	8	酒徒盛唐系列，文笔沉稳	Z未分类/历史/架空历史/《盛唐日月》作者：酒徒.txt
60	男儿行	酒徒	历史	8	8	元末群雄，酒徒热血历史	历史军事/历史传记/男儿行-酒徒.epub
61	明天下	孑与2	历史架空	8	8	孑与2明末宏篇，理想主义	Z未分类/历史/明朝历史/《明天下》作者：孑与2.txt
62	锦衣当国	特别白	历史	8	8	万历锦衣卫，权谋细腻	Z未分类/历史/明朝历史/《锦衣当国》作者：特别白.txt
63	大明武夫	特别白	历史军事	8	8	明末武人崛起，硬核战争	历史军事/架空历史/大明武夫-特别白.epub
64	修真聊天群	圣骑士的传说	都市修真	8	7	都市修真现象级，轻松脑洞	Z未分类/都市/都市异能/《修真聊天群》作者：圣骑士的传说.txt
65	王牌进化	卷土	末世进化	8	8	“进化流”口碑神作	起点精选/起点爆款小说/043.王牌进化.txt
66	拔魔	冰临神下	仙侠	7	9	冰临神下文笔佳，反套路修真	武侠仙侠/古典仙侠/拔魔-冰临神下.epub
67	沥川往事	施定柔	都市言情	8	8	虐恋经典，剧改口碑好	青春校园/沥川往事.mobi
68	佳期如梦	匪我思存	都市言情	8	8	匪我思存虐恋代表	青春校园/佳期如梦.mobi
69	千山暮雪	匪我思存	都市言情	8	7	经典虐恋，影视改编	青春校园/千山暮雪.mobi
70	原来你还在这里	辛夷坞	青春言情	8	8	辛夷坞成名作，青春疼痛	青春校园/原来你还在这里.mobi
71	山月不知心底事	辛夷坞	都市言情	7	8	辛夷坞代表，剧改热播	青春校园/山月不知心底事.mobi
72	醉玲珑	十四夜	古风言情	8	7	穿越宫斗人气作，剧改	青春校园/醉玲珑（上卷）.mobi
73	民调局异闻录	尔东水寿	灵异	8	8	灵异流口碑经典，考据丰富	科幻灵异/灵异神怪/民调局异闻录-尔东水寿.epub
74	苗疆道事	南无袈裟理科佛	灵异	8	8	《苗疆蛊事》同作者，民俗灵异佳作	科幻灵异/灵异神怪/苗疆道事-南无袈裟理科佛.epub
75	清明上河图密码	冶文彪	历史推理	8	8	畅销历史推理，结构精密	科幻灵异/推理侦探/清明上河图密码-冶文彪.epub
76	星战风暴	骷髅精灵	星际科幻	8	7	骷髅精灵星际经典	科幻灵异/机器时代/星战风暴-骷髅精灵.epub
77	问镜	减肥专家	仙侠	7	8	设定严谨的优质仙侠	玄幻奇幻/东方玄幻/问镜-减肥专家.epub
78	放开那个女巫	二目	奇幻种田	8	8	种田奇幻代表，脑洞与工业流	Z未分类/奇幻/史诗奇幻/《放开那个女巫》作者：二目.txt
79	好莱坞制作	白色十三号	娱乐	8	8	娱乐文标杆，专业度高	现代都市/都市生活/好莱坞制作-白色十三号.epub
80	邪气凛然	跳舞	都市	8	7	跳舞都市成名作	起点精选/起点爆款小说/031.邪气凛然.txt
81	莽荒纪	我吃西红柿	洪荒仙侠	8	7	西红柿洪荒人气作	武侠仙侠/奇幻修真/莽荒纪-我吃西红柿.epub
82	极品家丁	禹岩	古装轻喜	8	7	轻松种马经典，人气长盛	玄幻奇幻/东方玄幻/极品家丁.epub
83	大魏宫廷	贱宗首席弟子	历史架空	8	7	战国争霸人气长篇	Z未分类/历史/架空历史/《大魏宫廷》作者：贱宗首席弟子.txt
84	大宋的智慧	孑与2	历史	7	8	孑与2宋穿佳作，趣味与厚度	Z未分类/历史/宋朝历史/《大宋的智慧》作者：孑与2.txt
85	冠军教父	林海听涛	体育	8	8	足球文标杆，专业热血	起点精选/起点爆款小说/051.冠军教父.txt
86	小兵传奇	玄雨	科幻	8	7	早期星际网游经典	起点精选/起点爆款小说/0016016.小兵传奇.txt
87	步步生莲	月关	历史架空	8	7	月关宋辽史诗	起点精选/起点爆款小说/0020020.步步生莲【公众号：密知圈】.txt
88	长生界	辰东	玄幻	7	7	辰东早期人气仙侠	起点精选/起点爆款小说/024.长生界【公众号：密知圈】.txt
89	九鼎记	我吃西红柿	玄幻	7	7	西红柿升级流代表	起点精选/起点爆款小说/022.九鼎记.txt
90	随波逐流之一代军师	衣冠胜雪	历史	7	8	早期历史穿越名作，权谋厚重	起点精选/起点爆款小说/0008008.随波逐流之一代军师【公众号：密知圈】.txt
91	史上第一混乱	张小花	都市幽默	8	7	穿越幽默神作，脑洞大	青春校园/史上第一混乱.mobi
92	绾青丝	波波	穿越言情	7	8	经典穿越言情，篇幅厚	青春校园/绾青丝-沧都篇.mobi
93	鹤唳华亭	雪满梁园	古风权谋	8	8	庙堂权谋言情，文笔典雅，剧改	青春校园/鹤唳华亭.mobi
94	国术馆	徐皓峰	武侠	7	8	徐皓峰硬派武侠，文笔独特	青春校园/国术馆.mobi
95	悲伤逆流成河	郭敬明	青春	8	7	现象级青春文学，影视改编	青春校园/悲伤逆流成河.mobi
96	我真是大明星	尝谕	娱乐	8	7	娱乐文人气爆款	现代都市/白领生涯/我真是大明星-尝谕.epub
97	学霸的黑科技系统	晨星LL	科技	8	7	硬核科技流人气作	Z未分类/科幻/超级科技/《学霸的黑科技系统》作者：晨星LL.txt
98	首辅养成手册	闻檀	古言	7	7	宅斗人气作，剧改	女频言情/古代言情/首辅养成手册-闻檀.epub
99	笔冢随录（笔灵）	马伯庸	奇幻	7	8	马伯庸早期奇幻，文笔佳	青春校园/笔冢随录I生事如转篷.mobi
100	归路	墨宝非宝	都市言情	7	8	墨宝非宝虐恋，剧改口碑	女频言情/现代言情/归路-墨宝非宝.epub
